N_06-27-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,14:56:27.796,37103,40985,43885,36747,38534,957,994,958,2179,986,1768,1459,1430,1495,1529,1434,517,494,479,438,459,463,428,442,40.0
N_06-27-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,B4 temp.
197,15:11:43.324,955,993,961,2177,984,1769,1462,1435,1495,1527,1432,514,494,478,441,459,463,426,447,41.0
198,15:11:47.713,957,992,956,2178,986,16,1463,1430,1495,1529,1434,518,493,477,441,462,461,427,446,41.0
199,15:11:52.111,956,992,959,2178,988,1771,1462,1431,1491,1529,1435,514,496,479,441,457,464,426,449,41.0
200,15:11:56.549,956,993,959,2178,988,17,1462,1430,1494,1528,1436,516,494,479,440,459,465,428,445,41.0
201,15:12:03.564,957,994,958,2180,986,1770,1459,1431,1494,1527,1435,518,496,481,437,462,461,425,443,41.0
202,15:12:08.005,957,992,959,2177,987,1770,1460,1433,1493,1531,1434,517,493,477,437,459,464,427,446,41.0
203,15:12:12.404,956,992,958,2179,986,1770,1460,1433,1492,1529,1433,516,495,476,439,461,463,427,446,41.0
204,15:12:16.824,955,993,959,2179,986,1769,1461,1430,1491,1530,1434,515,494,478,441,464,462,424,444,41.0
205,15:12:21.285,956,991,960,2176,985,1769,1463,1432,1493,1529,1436,516,495,481,442,459,464,425,447,41.0
206,15:12:25.685,956,993,957,2176,986,1770,1464,1432,1493,1530,1433,515,492,477,439,461,464,426,446,41.0
207,15:12:30.127,957,992,957,2176,986,16,1464,1432,1493,1527,1434,516,495,479,440,463,462,426,444,41.0
208,15:12:34.546,956,994,958,2179,987,1770,1463,1432,1493,1529,1435,516,496,477,441,458,461,425,444,41.0
209,15:12:38.884,956,994,958,2178,986,1769,1464,1432,1492,1530,1432,516,496,478,440,462,464,427,442,41.0
210,15:12:43.272,956,993,959,2178,987,1772,1463,1434,1495,1530,1432,513,491,476,441,461,462,427,443,41.0
211,15:12:50.370,956,993,957,2178,986,85,1464,1432,1493,1529,1433,514,496,480,441,460,464,425,445,41.0
212,15:12:54.767,955,995,957,2178,985,1770,1464,1432,1495,1528,1436,518,492,477,437,460,462,424,444,41.0
213,15:12:59.230,955,994,958,2179,986,1768,1464,1433,1493,1530,1433,514,494,480,441,460,466,428,443,41.0
214,15:13:03.668,958,991,960,2177,988,18,1462,1432,1495,1530,1434,518,494,477,437,457,466,427,446,41.0
215,15:13:08.046,955,992,959,2176,985,1770,1462,1431,1493,1529,1431,517,495,478,441,459,463,427,448,41.0
216,15:13:12.419,957,991,957,2178,988,1769,1461,1429,1496,1531,1435,514,493,478,440,459,464,429,445,41.0
217,15:13:16.767,955,994,960,2177,985,1768,1464,1432,1495,1530,1434,517,492,478,440,460,461,425,445,41.0
218,15:13:21.113,955,994,960,2177,985,1772,1461,1429,1496,1530,1432,515,495,478,441,457,466,424,444,41.0
219,15:13:25.527,958,991,960,2179,986,15,1464,1432,1493,1528,1436,514,495,481,439,461,463,428,444,41.0
220,15:13:29.971,957,994,959,2177,986,1770,1460,1432,1495,1530,1437,514,494,481,440,461,463,428,446,41.0
221,15:13:37.069,956,992,959,2178,984,33,1459,1434,1494,1530,1432,518,496,477,443,461,463,429,444,41.0
222,15:13:41.492,956,991,960,2178,988,1792,1463,1429,1496,1529,1433,517,496,478,439,459,465,427,449,41.0
223,15:13:45.933,957,993,959,2177,984,14,1462,1430,1496,1529,1432,518,493,476,438,462,463,427,447,41.0
224,15:13:50.333,956,992,959,2179,986,1768,1462,1434,1492,1527,1434,516,492,480,441,462,464,424,443,41.0
225,15:13:54.791,956,993,958,2178,985,1772,1463,1433,1494,1527,1435,514,495,476,439,460,469,427,443,41.0
226,15:13:59.171,956,991,958,2179,984,13,1463,1431,1494,1530,1432,516,492,477,439,461,463,425,444,41.0
227,15:14:03.793,958,992,961,2178,988,1772,1462,1430,1492,1531,1433,515,493,476,437,460,462,428,445,41.0
228,15:14:08.253,956,992,958,2177,984,1770,1461,1428,1498,1529,1434,516,493,481,440,459,461,426,444,41.0
229,15:14:12.736,956,992,960,2176,986,1770,1464,1429,1494,1528,1436,513,494,476,440,459,463,425,447,41.0
230,15:14:17.214,957,992,958,2176,984,1771,1461,1429,1492,1529,1433,514,492,477,437,460,463,426,444,41.0
231,15:14:24.296,956,993,959,2179,984,27,1460,1433,1494,1529,1435,517,491,480,441,461,464,428,447,41.0
232,15:14:28.719,955,992,957,2177,988,1772,1461,1431,1498,1529,1435,518,493,479,441,459,461,427,447,41.0
233,15:14:33.211,956,994,960,2178,986,1769,1460,1431,1493,1530,1433,514,494,478,439,460,461,425,445,41.0
234,15:14:37.774,956,993,958,2177,988,1772,1463,1432,1494,1528,1433,515,494,477,440,460,463,429,449,41.0
235,15:14:42.195,959,992,957,2178,988,1769,1460,1434,1492,1530,1434,517,494,478,440,458,461,428,446,41.0
236,15:14:46.573,955,994,958,2178,988,1771,1461,1435,1493,1528,1434,514,496,478,440,459,462,428,447,41.0
237,15:14:51.096,955,994,960,2176,986,1771,1463,1433,1495,1528,1434,516,493,479,441,460,465,426,446,41.0
238,15:14:55.516,958,994,961,2177,985,16,1460,1429,1495,1528,1434,517,494,480,441,458,463,424,449,41.0
239,15:14:59.897,956,993,959,2177,986,1767,1462,1429,1494,1529,1435,515,494,477,439,461,464,430,446,41.0
240,15:15:04.375,956,993,961,2177,986,1769,1463,1429,1493,1527,1435,515,493,477,440,461,464,428,444,41.0
241,15:15:11.342,957,991,958,2176,985,30,1462,1429,1493,1529,1434,515,496,480,438,461,465,424,447,41.0
242,15:15:15.795,957,991,959,2177,987,1772,1463,1432,1495,1529,1433,514,496,480,441,459,464,427,446,41.0
243,15:15:20.219,956,993,959,2180,986,1773,1463,1433,1496,1530,1434,515,493,477,439,460,466,425,446,41.0
244,15:15:24.681,955,992,957,2178,988,1768,1460,1432,1496,1528,1434,515,493,479,440,460,464,426,447,41.0
245,15:15:29.077,955,993,959,2176,986,1769,1460,1429,1494,1527,1435,516,492,477,437,463,462,423,445,41.0
246,15:15:33.537,958,993,957,2178,986,1768,1464,1433,1492,1528,1434,518,496,478,439,463,464,424,444,41.0
247,15:15:38.007,957,992,959,2179,987,1771,1462,1433,1493,1529,1434,514,493,476,439,461,463,428,443,41.0
248,15:15:42.438,956,993,961,2177,988,1772,1463,1432,1494,1530,1435,515,492,479,441,461,465,428,445,41.0
249,15:15:46.883,958,992,958,2178,985,1768,1459,1431,1493,1528,1434,518,493,477,441,461,463,427,444,41.0
250,15:15:51.321,959,992,959,2179,985,47,1463,1433,1493,1527,1434,517,493,477,440,461,466,425,446,41.0
251,15:15:58.789,957,993,960,2179,988,1770,1457,1432,1496,1527,1433,514,491,480,437,464,463,430,445,41.0
252,15:16:03.327,956,994,960,2179,984,14,1460,1430,1498,1530,1434,514,495,477,438,459,463,428,444,41.0
257,15:16:26.393,957,992,958,2177,987,1770,1462,1429,1493,1528,1434,517,493,478,440,463,464,426,448,41.0
