N_07-25-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
53,11:36:15.995,36720,37141,35179,36132,34660,1183,1073,972,970,974,1494,1550,1504,1614,1735,1544,471,497,470,491,488,474,465,418,36.0
54,11:36:20.072,36587,37063,35294,36135,34785,1181,1071,974,970,971,1495,1550,1505,1613,1737,1545,470,498,470,493,488,476,462,420,36.0
55,11:36:24.276,36522,37147,35271,36201,34962,1182,1073,972,969,969,1493,1552,1507,1615,1739,1544,472,497,470,492,490,474,461,419,36.0
56,11:36:28.674,36607,37206,35081,36155,34869,1183,1074,973,971,969,1494,1551,1504,1612,1738,1547,472,496,469,489,485,474,463,417,36.0
57,11:36:33.215,36533,37162,35241,35971,34971,1183,1072,973,971,973,1493,1550,1509,1612,1736,1546,472,499,468,491,488,477,464,420,36.0
58,11:36:37.210,36762,37126,35227,36051,34902,1183,1073,972,970,972,1492,1548,1504,1614,1739,1543,469,496,466,491,490,478,462,420,36.0
59,11:36:41.050,36495,37104,35232,36090,34783,1181,1073,971,970,972,1496,1552,1505,1611,1736,1543,472,497,469,488,488,475,463,419,36.0
60,11:36:44.972,36576,37059,35273,36051,34735,1185,1073,976,971,974,1494,1552,1503,1613,1739,1549,472,497,465,491,489,476,461,421,36.0
61,11:36:51.593,36527,36800,34816,36177,34917,1181,1074,973,970,973,1494,1550,1506,1614,1738,1543,470,498,469,491,489,473,462,419,36.0
62,11:36:55.775,36434,37001,35171,36217,34872,1183,1070,975,972,972,1494,1551,1504,1614,1736,1542,469,496,469,492,489,471,463,420,36.0
63,11:37:00.325,36685,36999,35230,35892,34990,1184,1073,972,969,974,1493,1553,1503,1614,1737,1543,472,494,468,489,490,474,463,418,36.0
64,11:37:04.470,36659,37171,35153,36089,34833,1183,1074,972,970,972,1494,1550,1503,1612,1737,1548,469,498,470,488,489,476,461,418,36.0
65,11:37:08.313,36570,37112,35170,36178,35029,1181,1072,976,971,973,1493,1548,1506,1613,1735,1541,472,499,468,490,489,475,463,421,36.0
66,11:37:12.452,36780,37147,35074,35978,34867,1182,1073,973,971,975,1493,1551,1505,1613,1738,1541,470,499,467,491,485,472,464,418,36.0
67,11:37:16.314,36535,37070,35210,36139,34916,1184,1072,972,970,973,1492,1553,1505,1612,1736,1546,472,498,470,491,486,475,468,421,36.0
68,11:37:20.694,36568,37085,35096,36005,34973,1182,1071,977,972,972,1492,1552,1505,1613,1736,1542,471,498,466,488,487,477,463,418,36.0
69,11:37:24.793,36408,37035,35249,35938,34956,1181,1075,975,971,973,1493,1554,1505,1614,1735,1547,471,497,468,491,489,476,465,419,36.0
70,11:37:28.569,36588,37004,35317,36036,34773,1183,1072,976,970,971,1494,1552,1508,1612,1737,1545,469,497,469,491,488,476,462,421,36.0
71,11:37:35.335,36562,36759,34815,36093,34602,1182,1073,974,970,970,1496,1555,1503,1612,1737,1543,469,498,466,493,486,475,464,417,36.0
72,11:37:39.655,36563,37159,35182,36132,34780,1185,1074,974,972,971,1492,1553,1504,1613,1737,1546,472,497,467,493,489,473,464,421,36.0
73,11:37:43.873,36482,37145,35165,36073,34794,1181,1072,973,971,969,1493,1553,1503,1613,1736,1544,472,499,469,490,486,475,463,417,36.0
74,11:37:47.944,36637,36949,35185,36127,34939,1182,1074,972,971,972,1493,1552,1506,1613,1739,1547,469,498,470,491,490,475,464,420,36.0
75,11:37:51.895,36676,37134,35229,36201,35145,1181,1073,975,972,970,1495,1551,1505,1613,1737,1546,471,494,466,493,485,475,465,423,36.0
76,11:37:56.030,36647,37161,35160,36114,35233,1184,1073,975,972,973,1495,1548,1505,1612,1738,1545,471,498,469,492,487,473,462,420,36.0
77,11:37:59.837,36480,37178,35266,36135,35347,1184,1071,975,970,971,1492,1550,1506,1612,1736,1543,472,496,465,490,488,475,468,420,36.0
78,11:38:11.294,36470,37186,35134,36040,35323,1183,1072,973,970,972,1494,1552,1506,1611,1739,1544,470,496,466,490,489,477,462,417,36.0
N_07-25-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,11:42:31.783,36586,37061,34964,36184,35224,1186,1071,973,970,975,1493,1552,1506,1615,1739,1543,471,498,468,489,523,476,463,419,37.0
2,11:42:35.477,36769,36979,35145,36202,35302,1181,1070,974,969,973,1493,1549,1503,1610,1736,1541,473,498,467,490,489,476,464,420,37.0
3,11:42:39.277,36578,37185,35176,35983,35275,1181,1074,973,971,975,1493,1549,1506,1611,1737,1545,473,496,469,492,486,475,463,418,37.0
4,11:42:43.272,36812,37105,35315,36064,35222,1184,1071,973,972,971,1491,1553,1506,1612,1736,1544,472,498,468,492,488,477,462,419,37.0
5,11:42:47.032,36725,37158,35205,36111,35383,1181,1074,975,970,972,1492,1552,1508,1613,1738,1545,471,500,468,494,487,476,466,422,37.0
6,11:42:50.818,36641,37200,35296,36016,35483,1182,1073,975,971,971,1493,1551,1505,1612,1738,1544,472,496,467,493,490,474,460,419,37.0
7,11:42:54.657,36589,37139,35114,36025,35314,1182,1073,975,970,971,1492,1550,1503,1613,1737,1547,471,495,467,488,486,473,462,422,37.0
8,11:42:58.341,36644,37145,35302,36005,35410,1182,1073,975,969,971,1493,1553,1504,1610,1735,1543,472,498,467,488,489,476,465,420,37.0
9,11:43:02.057,36550,37085,35164,36198,35255,1183,1072,972,971,970,1494,1552,1502,1613,1737,1545,475,498,467,492,486,474,463,419,37.0
