N_08-06-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,15:16:34.372,39740,38838,40571,39835,40690,1035,0,936,1131,1118,1536,1564,1530,1501,1584,1599,390,365,374,410,329,320,319,344,27.0
N_08-08-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
95,17:16:00.731,40514,39562,41040,40827,41834,1033,1962,935,1135,1114,1533,1562,1532,1503,1585,1602,32.0
96,17:16:03.057,40498,39575,41070,40533,41621,1036,1961,934,1134,1114,1532,1562,1530,1505,1584,1601,32.0
97,17:16:05.381,40535,39539,41016,40851,41610,1035,1962,937,1134,1114,1535,1563,1532,1502,1585,1600,32.0
98,17:16:07.627,40412,39634,41148,40844,41450,1035,1962,937,1132,1115,1535,1563,1531,1504,1583,1601,32.0
99,17:16:09.945,40498,39786,41271,40749,41707,1036,1960,934,1137,1116,1533,1562,1530,1501,1585,1600,32.0
100,17:16:12.261,40541,39606,41190,40707,41517,1035,1962,934,1133,1115,1534,1564,1531,1500,1583,1600,32.0
101,17:16:17.285,40503,39713,41198,40695,41577,1034,1962,937,1132,1116,1535,1561,1530,1501,1585,1601,32.0
102,17:16:19.605,40467,39636,41084,40857,41609,1034,1962,937,1131,1118,1535,1563,1530,1504,1585,1600,32.0
103,17:16:21.878,40555,39752,41173,40823,41643,1034,1962,935,1133,1119,1535,1563,1531,1499,1582,1599,32.0
104,17:16:24.098,40458,39589,41162,40820,41461,1035,1963,935,1133,1117,1534,1563,1532,1503,1585,1598,32.0
105,17:16:26.355,40557,39646,41305,40864,41663,1033,1961,936,1132,1116,1534,1562,1531,1504,1584,1599,32.0
106,17:16:28.577,40632,39585,41150,40661,41560,1033,1960,933,1133,1117,1534,1563,1531,1502,1582,1601,32.0
107,17:16:30.843,40455,39724,41286,40782,41562,1035,1961,937,1133,1113,1534,1563,1529,1501,1584,1599,32.0
108,17:16:33.099,40567,39577,41160,40815,41621,1034,1961,934,1137,1119,1532,1562,1533,1501,1582,1600,32.0
109,17:16:35.347,40387,39523,41179,40880,41704,1034,1961,935,1133,1117,1533,1562,1532,1500,1584,1600,32.0
110,17:16:37.567,40628,39721,41190,40745,41570,1033,1963,934,1136,1116,1534,1564,1533,1503,1585,1601,32.0
111,17:16:42.380,40526,39768,41050,40834,41612,1036,1961,935,1131,1114,1533,1563,1530,1501,1585,1600,32.0
112,17:16:44.684,40366,39602,41300,40823,41565,1032,1962,933,1132,1116,1533,1562,1533,1501,1586,1602,32.0
113,17:16:46.955,40443,39532,41054,40714,41663,1034,1962,935,1133,1112,1532,1563,1532,1502,1584,1601,32.0
114,17:16:49.262,40419,39629,41009,40750,41652,1034,1962,934,1133,1118,1533,1562,1533,1504,1583,1599,32.0
115,17:16:51.561,40461,39696,41122,40610,41674,1034,1963,934,1130,1118,1534,1562,1532,1498,1585,1599,32.0
116,17:16:53.830,40374,39634,41103,40821,41530,1034,1962,934,1135,1116,1533,1562,1531,1500,1584,1601,32.0
117,17:16:56.058,40547,39810,41018,40746,41700,1034,1960,934,1134,1113,1534,1562,1529,1499,1585,1601,32.0
118,17:16:58.298,40367,39644,41186,40793,41652,1034,1960,935,1134,1117,1534,1563,1530,1503,1585,1603,32.0
119,17:17:00.556,40526,39697,41071,40858,41525,1034,1960,935,1133,1114,1532,1563,1534,1501,1586,1602,32.0
120,17:17:02.745,40512,39637,41079,40885,41478,1034,1960,935,1132,1114,1535,1564,1531,1502,1585,1601,32.0
121,17:17:07.527,40327,39737,41228,40895,41632,1034,1961,935,1133,1115,1531,1562,1532,1500,1584,1601,32.0
122,17:17:09.884,40557,39679,41131,40785,41475,1032,1960,935,1135,1112,1533,1564,1533,1502,1586,1602,32.0
123,17:17:12.269,40519,39573,41283,40801,41640,1036,1961,936,1134,1117,1533,1564,1528,1502,1584,1602,32.0
124,17:17:14.535,40487,39531,41186,40704,41625,1033,1960,934,1132,1116,1534,1563,1530,1500,1583,1601,32.0
125,17:17:16.837,40419,39583,41279,40774,41575,1034,1961,936,1132,1117,1533,1562,1531,1502,1586,1601,32.0
126,17:17:19.096,40409,39640,41188,40820,41500,1035,1960,936,1132,1116,1535,1562,1529,1503,1586,1601,32.0
127,17:17:21.608,40503,39780,41193,40843,41643,1035,1960,936,1132,1117,1534,1561,1531,1502,1586,1601,33.0
128,17:17:24.059,40549,39631,41043,40791,41627,1034,1960,934,1134,1116,1532,1560,1530,1498,1584,1600,33.0
129,17:17:26.697,40450,39815,41094,40721,41715,1035,1960,936,1132,1116,1534,1560,1530,1502,1583,1601,33.0
130,17:17:29.350,40489,39659,41233,40762,41541,1033,1963,935,1133,1117,1534,1563,1533,1503,1583,1603,33.0
131,17:17:34.588,40427,39803,40965,40620,41578,1034,1960,934,1136,1112,1532,1563,1530,1502,1584,1601,33.0
132,17:17:37.467,40463,39715,41271,40731,41591,1035,1960,933,1135,1116,1536,1562,1528,1503,1584,1600,33.0
133,17:17:40.401,40562,39565,41101,40636,41627,1035,1963,936,1133,1116,1537,1561,1529,1502,1584,1600,33.0
134,17:17:43.086,40458,39653,41134,40944,41522,1034,1963,933,1134,1118,1534,1563,1530,1503,1584,1602,33.0
135,17:17:45.302,40530,39706,41260,40738,41493,1033,1961,936,1132,1116,1534,1561,1528,1501,1584,1602,33.0
136,17:17:47.999,40523,39747,41291,40903,41607,1035,1961,935,1136,1115,1534,1564,1529,1504,1585,1601,33.0
137,17:17:50.702,40493,39730,41096,40875,41566,1033,1962,935,1132,1116,1533,1563,1528,1503,1585,1602,33.0
138,17:17:53.502,40483,39669,41146,40614,41500,1034,1960,934,1132,1115,1533,1563,1528,1502,1583,1602,33.0
139,17:17:56.619,40420,39752,41206,40785,41787,1033,1960,934,1135,1117,1534,1562,1529,1503,1584,1600,33.0
140,17:17:59.521,40539,39607,41191,40726,41686,1033,1959,938,1131,1116,1534,1562,1530,1500,1584,1600,33.0
141,17:18:05.076,40465,39648,41120,40711,41547,1034,1962,935,1134,1115,1533,1562,1531,1501,1584,1599,33.0
142,17:18:07.962,40606,39765,41277,40753,41683,1034,1959,935,1135,1118,1535,1561,1533,1501,1584,1602,33.0
143,17:18:10.884,40418,39640,41188,40872,41601,1032,1960,935,1134,1118,1536,1562,1532,1501,1585,1598,33.0
144,17:18:13.695,40442,39539,41202,40832,41693,1032,1960,934,1135,1114,1532,1561,1529,1504,1584,1599,33.0
145,17:18:16.197,40444,39675,41159,40770,41560,1034,1958,933,1132,1117,1535,1562,1529,1499,1582,1600,33.0
146,17:18:18.416,40403,39616,41080,40811,41641,1033,1959,934,1135,1115,1532,1562,1531,1505,1585,1602,33.0
147,17:18:20.677,40441,39600,41074,40833,41629,1035,1960,933,1133,1119,1535,1561,1533,1501,1583,1602,33.0
148,17:18:22.900,40612,39638,41133,40687,41673,1033,1962,933,1132,1116,1533,1562,1531,1501,1584,1602,33.0
149,17:18:25.141,40533,39644,41180,40740,41555,1032,1960,934,1131,1116,1535,1563,1532,1502,1585,1599,33.0
150,17:18:27.356,40527,39731,41184,40720,41670,1035,1959,934,1134,1116,1532,1562,1530,1503,1584,1600,33.0
151,17:18:32.170,40422,39782,41133,40778,41655,1034,1960,935,1134,1116,1533,1561,1529,1502,1585,1602,33.0
152,17:18:34.484,40464,39679,41279,40834,41735,1033,1960,934,1133,1118,1534,1562,1530,1500,1584,1601,33.0
153,17:18:36.759,40413,39620,41330,40742,41461,1036,1960,933,1135,1118,1533,1561,1532,1501,1585,1602,33.0
154,17:18:38.981,40525,39725,41103,40756,41618,1034,1959,933,1135,1117,1534,1561,1533,1503,1585,1602,33.0
155,17:18:41.264,40518,39733,41127,40909,41670,1033,1960,937,1135,1118,1534,1560,1531,1500,1582,1603,33.0
