N_06-27-2018,Time,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,B4 temp.
103,18:29:53.755,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
104,18:29:55.920,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
105,18:29:58.083,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
106,18:30:00.252,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
107,18:30:02.435,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
108,18:30:04.598,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
109,18:30:06.764,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
110,18:30:08.924,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
111,18:30:11.518,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
112,18:30:13.685,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
113,18:30:15.942,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
114,18:30:18.121,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
115,18:30:20.283,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
116,18:30:22.455,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
117,18:30:24.628,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
118,18:30:26.787,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
119,18:30:29.190,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
120,18:30:31.379,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
121,18:30:34.004,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
122,18:30:36.461,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
123,18:30:38.732,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
124,18:30:40.912,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
125,18:30:43.079,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
126,18:30:45.254,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
127,18:30:47.414,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
128,18:30:49.581,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
129,18:30:51.741,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
130,18:30:53.904,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
131,18:30:56.500,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
132,18:30:58.660,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
133,18:31:00.828,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
134,18:31:02.999,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
135,18:31:05.191,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
136,18:31:07.415,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
137,18:31:09.776,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
138,18:31:12.139,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
139,18:31:14.678,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
140,18:31:17.219,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
141,18:31:19.997,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
142,18:31:22.168,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
143,18:31:24.337,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
144,18:31:26.503,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
145,18:31:28.655,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
146,18:31:30.810,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
147,18:31:32.973,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
148,18:31:35.139,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
149,18:31:37.303,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
150,18:31:39.483,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
151,18:31:42.085,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
152,18:31:44.247,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
153,18:31:46.409,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
154,18:31:48.718,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
155,18:31:51.184,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
156,18:31:53.346,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
157,18:31:55.526,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
158,18:31:57.705,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
159,18:31:59.864,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
160,18:32:02.044,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
161,18:32:04.713,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
162,18:32:07.865,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
163,18:32:10.872,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
164,18:32:13.225,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
165,18:32:15.653,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
166,18:32:17.857,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
167,18:32:20.134,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
168,18:32:22.468,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
169,18:32:24.621,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
170,18:32:26.783,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
171,18:32:29.373,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
172,18:32:31.538,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
173,18:32:33.694,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
174,18:32:35.866,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
175,18:32:38.037,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
176,18:32:40.200,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
177,18:32:42.373,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
178,18:32:44.541,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
179,18:32:46.715,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
180,18:32:48.879,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
181,18:32:51.472,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
182,18:32:53.643,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
183,18:32:55.803,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
184,18:32:57.977,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
185,18:33:00.244,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
